# Callsign Distribution...
# Total Calls      6342 (100.0%)
# Local...         2883 ( 45.5%)
#  - USA           2607 ( 41.1%)
#  - Canada         206 (  3.2%)
#  - Mexico          47 (  0.7%)
#  - Alaska          13 (  0.2%)
#  - Hawaii          10 (  0.2%)
# DX...            3459 ( 54.5%)
#  - N. America      67 (  1.1%)
#  - S. America     380 (  6.0%)
#  - Europe        2100 ( 33.1%)
#  - Asia           706 ( 11.1%)
#  - Africa          43 (  0.7%)
#  - Oceania        132 (  2.1%)
#  - Maritime        31 (  0.5%)

cabrillo_id	year	call	host	cat	section	dxcc	score	qso	mult	late_log_flag	club	minutes_on	ops
ARRL-10	2025	AA5UN	AA5UN	SOU-MIX-LP	NTX		14960	95	55	0		163	AA5UN
ARRL-10	2025	AA6AA	W6UC	SO-CW-HP	SJV		72216	179	102	0	Southern California Contest Club	596	AA6AA
ARRL-10	2025	AA6MU	AA6MU	SOU-CW-LP	EB		191140	517	95	0		1272	AA6MU
ARRL-10	2025	AA7EE	AA7EE	SO-CW-QRP	EB		32712	145	58	0		1003	AA7EE
ARRL-10	2025	AA7V	AA7V	SOU-CW-HP	AZ		650560	1077	152	0	Arizona Outlaws Contest Club	1241	AA7V
ARRL-10	2025	AA8BV	AA8BV	SO-CW-LP	OH		540	15	9	0	Not Quite Workable Contest Club	68	AA8BV
ARRL-10	2025	AA8P	AA8P	SO-CW-LP	OH		4200	52	25	0		277	AA8P
ARRL-10	2025	AA8R	AA8R	SOU-CW-LP	WCF		5824	53	28	0	Florida Contest Group	73	AA8R
ARRL-10	2025	AA9WP	AA9WP	SO-MIX-LP	WI		18232	118	53	0	Driftless Zone Contesters	611	AA9WP
ARRL-10	2025	AB0CD	AB0CD	SO-MIX-QRP	CO		2052	30	19	0		88	AB0CD
ARRL-10	2025	AB0S	AB0S	SOU-CW-HP	NE		637144	1116	146	0	Heartland DX Association	996	AB0S
ARRL-10	2025	AB1WT	AB1WT	SO-PH-HP	WMA		396	18	11	0	Hampden County Radio Association	38	AB1WT
